StateWellId|SealMethodId|SealMethodOtherDesc|CreatedDate|LastUpdateDate
42|1|Truck mixed|2018-04-17|2018-04-17
44|18||2018-04-17|2018-04-17
54|10||2016-10-04|2016-10-04
56|18||2018-04-17|2018-04-17
115|10||2016-07-26|2016-07-26
125|10||2016-07-27|2016-07-27
138|10||2016-07-27|2016-07-27
139|10||2016-07-27|2016-07-27
151|10||2016-07-27|2016-07-27
170|10||2016-07-27|2016-07-27
194|10||2016-07-27|2016-07-27
202|11||2018-04-17|2018-04-17
203|10||2016-07-27|2016-07-27
238|10||2016-07-27|2016-07-27
295|10||2016-10-04|2016-10-04
311|10||2016-07-27|2016-07-27
350|10||2016-07-27|2016-07-27
476|2||2018-04-17|2018-04-17
486|11||2018-04-17|2018-04-17
495|1|Pour|2018-04-17|2018-04-17
511|1|portland cement|2018-04-17|2018-04-17
512|10||2016-07-27|2016-07-27
528|10||2018-04-17|2018-04-17
571|1|Truck mixed|2018-04-17|2018-04-17
572|18||2018-04-17|2018-04-17
573|1|Truck mixed|2018-04-17|2018-04-17
576|18||2018-04-17|2018-04-17
577|18||2018-04-17|2018-04-17
579|1|Truck mixed|2018-04-17|2018-04-17
580|1|Truck mixed|2018-04-17|2018-04-17
616|10||2016-07-29|2016-07-29
631|1|Pressure Pumped|2016-07-29|2016-07-29
632|10||2016-07-29|2016-07-29
635|1|Pressure pumped|2016-07-29|2016-07-29
652|1|truck mixed tremmied|2016-07-29|2016-07-29
662|2||2018-04-17|2018-04-17
669|10||2016-07-29|2016-07-29
682|10||2018-04-17|2018-04-17
738|10||2016-07-29|2016-07-29
831|10||2016-07-29|2016-07-29
906|10||2016-07-29|2016-07-29
919|10||2016-07-29|2016-07-29
958|10||2016-07-29|2016-07-29
1199|10||2016-07-29|2016-07-29
1455|10||2016-07-29|2016-07-29
1484|10||2016-10-04|2016-10-04
1487|10||2016-07-29|2016-07-29
1648|11||2018-04-17|2018-04-17
1755|10||2016-07-29|2016-07-29
1758|10||2016-07-29|2016-07-29
1783|10||2016-07-29|2016-07-29
1825|10||2016-07-29|2016-07-29
1866|10||2016-07-29|2016-07-29
1914|10||2016-07-29|2016-07-29
1919|10||2016-07-29|2016-07-29
1946|10||2018-04-17|2018-04-17
1956|10||2016-07-29|2016-07-29
1968|11||2016-07-29|2016-07-29
1976|10||2016-08-01|2016-08-01
1979|10||2018-04-17|2018-04-17
2011|1|CEMENT GROUT|2018-04-17|2018-04-17
2012|10||2016-08-01|2016-08-01
2035|1|Truck mixed|2018-04-17|2018-04-17
2045|11||2018-04-17|2018-04-17
2048|11||2018-04-17|2018-04-17
2129|1|Neat Cement|2018-04-17|2018-04-17
2176|1|Hand Mix|2018-04-17|2018-04-17
2177|1|Hand Mix|2018-04-17|2018-04-17
2178|1|Neat Cement|2018-04-17|2018-04-17
2195|1|Cement Grout|2016-08-01|2016-08-01
2263|10||2016-08-01|2016-08-01
2271|10||2016-08-01|2016-08-01
2308|14||2016-08-01|2016-08-01
2309|14||2016-08-01|2016-08-01
2352|1|CEMENT GROUT|2018-04-17|2018-04-17
2479|10||2016-08-01|2016-08-01
2516|1|Cement Grout|2016-08-01|2016-08-01
2526|10||2016-08-01|2016-08-01
2575|1|Cement Grout|2016-08-01|2016-08-01
2607|1|Cement Grout|2016-08-01|2016-08-01
2781|11||2018-04-17|2018-04-17
2817|1|Truck mixed|2016-08-01|2016-08-01
2830|1|Truck mixed|2018-04-17|2018-04-17
2879|11||2018-04-17|2018-04-17
2880|1|Truck mixed|2018-04-17|2018-04-17
2906|1|Hand mixed and poured|2016-08-01|2016-08-01
2920|1|Hand Mixed & Poured|2018-04-17|2018-04-17
